Y	MOVE	MISSPRISM	CHASUBLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><locomotion sbm:follow="CHASUBLE" type="basic" manner="walk" proximity="50"/></bml></act>
N	SPEAK	MISSPRISM	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">I was told you expected me in the vestry, dear Canon. I have been waiting for you there for an hour and three-quarters.</speech></bml></act>
N	MOVE	MISSPRISM	LADYBRACKNELL	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><gaze target="LADYBRACKNELL" /></bml></act>
N	SPEAK	LADYBRACKNELL	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Prism!</speech></bml></act>
N	SPEAK	LADYBRACKNELL	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Come here, Prism!</speech></bml></act>
Y	SPEAK	LADYBRACKNELL	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Prism! Where is that baby?</speech></bml></act>
N	MOVE	MISSPRISM	LADYBRACKNELL	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><locomotion sbm:follow="LADYBRACKNELL" type="basic" manner="walk" proximity="50"/></bml></act>
Y	SPEAK	LADYBRACKNELL	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Twenty-eight years ago, Prism, you left Lord Bracknell's house, Number 104, Upper Grosvenor Street, in charge of a perambulator that contained a baby of the male sex. You never returned. A few weeks later, through the elaborate investigations of the Metropolitan police, the perambulator was discovered at midnight, standing by itself in a remote corner of Bayswater. It contained the manuscript of a three-volume novel of more than usually revolting sentimentality.</speech></bml></act>
Y	MOVE	LADYBRACKNELL	/BACK	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><bml><gaze target="/BACK" /></bml></act>
N	MOVE	ALGERNON	JACK	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ALGERNON" role="actor" /><bml><gaze target="JACK" /></bml></act>
Y	SPEAK	LADYBRACKNELL	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">But the baby was not there!</speech></bml></act>
N	MOVE	LADYBRACKNELL	MISSPRISM	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><bml><gaze target="MISSPRISM" /></bml></act>
Y	SPEAK	LADYBRACKNELL	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Prism! Where is that baby?</speech></bml></act>
N	MOVE	LADYBRACKNELL	MISSPRISM	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LADYBRACKNELL" role="actor" /><bml><gaze target="MISSPRISM" /></bml></act>
N	SPEAK	MISSPRISM	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Lady Bracknell, I admit with shame that I do not know. I only wish I did. The plain facts of the case are these. On the morning of the day you mention, a day that is for ever branded on my memory, I prepared as usual to take the baby out in its perambulator.</speech></bml></act>
